Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL1422158,COc1ccccc1C(=O)N=C(NC(=O)c1ccccc1OC)Nc1nc2ccccc2o1,Potency,'=',10000,nM,5,,Inconclusive,UO_0000065,,,,,0,CHEMBL1613803,PUBCHEM_BIOASSAY: qHTS Assay for Identification of Small Molecule Antagonists for Hypoxia Response Element Signaling Pathway. (Class of assay: confirmatory) [Related pubchem assays: 914 ],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4261,Hypoxia-inducible factor 1 alpha,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,,
CHEMBL1372837,Cn1c(=O)c2c(nc(N3CCN(Cc4ccccc4)CC3)n2CC(=O)c2ccccc2)n(C)c1=O,Potency,'=',5011.9,nM,5.3,,Inconclusive,UO_0000065,,,,,0,CHEMBL1613803,PUBCHEM_BIOASSAY: qHTS Assay for Identification of Small Molecule Antagonists for Hypoxia Response Element Signaling Pathway. (Class of assay: confirmatory) [Related pubchem assays: 914 ],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4261,Hypoxia-inducible factor 1 alpha,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,,
CHEMBL1373259,CCNc1ncc2nc(CCc3ccccc3)c(=O)n(Cc3ccc(F)cc3)c2n1,Potency,'=',5011.9,nM,5.3,,Inconclusive,UO_0000065,,,,,0,CHEMBL1613803,PUBCHEM_BIOASSAY: qHTS Assay for Identification of Small Molecule Antagonists for Hypoxia Response Element Signaling Pathway. (Class of assay: confirmatory) [Related pubchem assays: 914 ],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4261,Hypoxia-inducible factor 1 alpha,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,,
CHEMBL1447590,Nc1cccc2nsnc12,Potency,'=',3162.3,nM,5.5,,Inconclusive,UO_0000065,,,,,0,CHEMBL1613803,PUBCHEM_BIOASSAY: qHTS Assay for Identification of Small Molecule Antagonists for Hypoxia Response Element Signaling Pathway. (Class of assay: confirmatory) [Related pubchem assays: 914 ],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4261,Hypoxia-inducible factor 1 alpha,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,,
CHEMBL1422338,N#Cc1c(N2CCCCC2)nc(N2CCCCC2)c2c1CCN(Cc1ccccc1)C2,Potency,'=',12589.3,nM,4.9,,Inconclusive,UO_0000065,,,,,0,CHEMBL1613803,PUBCHEM_BIOASSAY: qHTS Assay for Identification of Small Molecule Antagonists for Hypoxia Response Element Signaling Pathway. (Class of assay: confirmatory) [Related pubchem assays: 914 ],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4261,Hypoxia-inducible factor 1 alpha,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,,
CHEMBL1401626,C[C@H]1CC[C@@H]2[C@@H](C)C(=O)O[C@H]3O[C@@]4(C)CC[C@H]1[C@@]32OO4,Potency,'=',158.5,nM,6.8,,Inconclusive,UO_0000065,,,,,0,CHEMBL1613803,PUBCHEM_BIOASSAY: qHTS Assay for Identification of Small Molecule Antagonists for Hypoxia Response Element Signaling Pathway. (Class of assay: confirmatory) [Related pubchem assays: 914 ],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4261,Hypoxia-inducible factor 1 alpha,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,,
CHEMBL74,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+].[Na+],Potency,'=',12589.3,nM,4.9,,Inconclusive,UO_0000065,,,,,0,CHEMBL1613803,PUBCHEM_BIOASSAY: qHTS Assay for Identification of Small Molecule Antagonists for Hypoxia Response Element Signaling Pathway. (Class of assay: confirmatory) [Related pubchem assays: 914 ],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4261,Hypoxia-inducible factor 1 alpha,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,,
CHEMBL876,Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl.[Na+],Potency,'=',10000,nM,5,,Active,UO_0000065,,,,,0,CHEMBL1613803,PUBCHEM_BIOASSAY: qHTS Assay for Identification of Small Molecule Antagonists for Hypoxia Response Element Signaling Pathway. (Class of assay: confirmatory) [Related pubchem assays: 914 ],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4261,Hypoxia-inducible factor 1 alpha,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,,
CHEMBL1531932,CCCCc1c(C)nn(-c2nnc3c4ccccc4n(C)c3n2)c1C,Potency,'=',398.1,nM,6.4,,Active,UO_0000065,,,,,0,CHEMBL1613803,PUBCHEM_BIOASSAY: qHTS Assay for Identification of Small Molecule Antagonists for Hypoxia Response Element Signaling Pathway. (Class of assay: confirmatory) [Related pubchem assays: 914 ],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4261,Hypoxia-inducible factor 1 alpha,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,,
CHEMBL1340201,CCN(CC)C(=O)CSc1nc2ccccc2c(=O)n1CC1CCCCC1,Potency,'=',794.3,nM,6.1,,Inconclusive,UO_0000065,,,,,0,CHEMBL1613803,PUBCHEM_BIOASSAY: qHTS Assay for Identification of Small Molecule Antagonists for Hypoxia Response Element Signaling Pathway. (Class of assay: confirmatory) [Related pubchem assays: 914 ],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4261,Hypoxia-inducible factor 1 alpha,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,,
